voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
3.282300,0.105784,3.191063,-1.927870,1.844572,1329.000000,0.000473,2.877445,4.996584,0.002088,1.030783,-0.196084,0.000001,0.000001,0.000005,3.221582,1.844600
3.282961,0.105665,3.224609,-1.934352,1.858451,1339.000000,0.000469,2.876032,4.996582,0.002087,1.024243,-0.197108,0.000001,0.000001,0.000000,3.221224,1.858500
3.283619,0.105547,3.257883,-1.940730,1.872332,1349.000000,0.000467,2.875011,4.996585,0.002081,1.045243,-0.201667,0.000001,0.000001,0.000001,3.217465,1.872400
3.284271,0.105431,3.290869,-1.946998,1.886211,1359.000000,0.000464,2.876639,4.996585,0.002079,1.043057,-0.197041,0.000001,0.000001,0.000002,3.217801,1.886200
3.284919,0.105317,3.323625,-1.953178,1.900091,1369.000000,0.000461,2.875871,4.996586,0.002074,1.059865,-0.199189,0.000001,0.000001,0.000002,3.215047,1.900100
3.285562,0.105205,3.356027,-1.959228,1.913971,1379.000000,0.000458,2.875106,4.996588,0.002070,1.067166,-0.200278,0.000001,0.000001,0.000000,3.212951,1.914000
3.286201,0.105094,3.388212,-1.965198,1.927852,1389.000000,0.000455,2.876416,4.996592,0.002065,1.079360,-0.203827,0.000001,0.000001,0.000001,3.210210,1.927900
3.286835,0.104985,3.420093,-1.971058,1.941732,1399.000000,0.000452,2.874649,4.996595,0.002069,1.067137,-0.193594,0.000001,0.000001,-0.000003,3.212797,1.941800
3.287465,0.104877,3.451700,-1.976819,1.955611,1409.000000,0.000450,2.873653,4.996593,0.002065,1.072246,-0.191404,0.000001,0.000001,0.000003,3.210609,1.955600
3.288091,0.104771,3.483054,-1.982491,1.969490,1419.000000,0.000447,2.876963,4.996592,0.002060,1.081547,-0.190759,0.000001,0.000001,0.000002,3.207939,1.969500
3.288713,0.104666,3.514145,-1.988071,1.983370,1429.000000,0.000444,2.875766,4.996594,0.002058,1.090319,-0.186232,0.000001,0.000001,0.000002,3.206658,1.983400
3.289330,0.104563,3.544973,-1.993560,1.997251,1439.000000,0.000441,2.878297,4.996596,0.002053,1.105703,-0.187977,0.000001,0.000001,-0.000001,3.204311,1.997300
3.289943,0.104461,3.575520,-1.998952,2.011131,1449.000000,0.000439,2.878737,4.996598,0.002049,1.110990,-0.188437,0.000001,0.000001,0.000002,3.202038,2.011200
3.290552,0.104361,3.605832,-2.004265,2.025009,1459.000000,0.000436,2.877273,4.996595,0.002048,1.100918,-0.186842,0.000001,0.000001,0.000003,3.202283,2.025000
3.291156,0.104261,3.635986,-2.009527,2.038889,1469.000000,0.000434,2.877585,4.996595,0.002048,1.089765,-0.183772,0.000001,0.000001,-0.000002,3.203303,2.038900
3.291757,0.104163,3.665838,-2.014688,2.052767,1479.000000,0.000431,2.878569,4.996593,0.002041,1.112651,-0.182055,0.000001,0.000001,0.000001,3.199490,2.052800
3.292353,0.104066,3.695506,-2.019790,2.066647,1489.000000,0.000429,2.877102,4.996596,0.002039,1.111559,-0.186288,0.000001,0.000001,0.000002,3.198566,2.066700
3.292945,0.103970,3.724941,-2.024816,2.080527,1499.000000,0.000426,2.878950,4.996594,0.002034,1.122552,-0.184934,0.000001,0.000001,-0.000001,3.195494,2.080600
3.293533,0.103875,3.754166,-2.029775,2.094406,1509.000000,0.000424,2.877980,4.996594,0.002030,1.132558,-0.184078,0.000001,0.000001,0.000000,3.193240,2.094400
3.294117,0.103781,3.783163,-2.034661,2.108287,1519.000000,0.000421,2.876533,4.996598,0.002026,1.142200,-0.188351,0.000001,0.000001,0.000003,3.191167,2.108300
3.294697,0.103689,3.811931,-2.039475,2.122167,1529.000000,0.000419,2.876753,4.996599,0.002021,1.157562,-0.189353,0.000001,0.000001,0.000000,3.188544,2.122200
3.295273,0.103596,3.840580,-2.044256,2.136046,1539.000000,0.000417,2.873419,4.996597,0.002020,1.146284,-0.181066,0.000001,0.000001,0.000000,3.188750,2.136100
3.295844,0.103505,3.869021,-2.048972,2.149925,1549.000000,0.000414,2.872253,4.996598,0.002016,1.156046,-0.181925,0.000001,0.000001,0.000003,3.186649,2.150000
